RealGM Summary Page,Highest Level Reached,Season,,School,,SR-1,SR-2,BPM,,,
/player/Tim-Kamczyc/Summary/15436,International,2011,12,Cleveland State,/player/Tim-Kamczyc/Summary/15436=2011,/cbb/players/tim-kamczyc-1.html,,4.20,1.40,5.50,
/player/Tim-Kamczyc/Summary/15436,International,2012,13,Cleveland State,/player/Tim-Kamczyc/Summary/15436=2012,/cbb/players/tim-kamczyc-1.html,,0.20,-1.00,-0.80,
/player/Halil-Kanacevic/Summary/18675,International,2011,12,Saint Joseph's,/player/Halil-Kanacevic/Summary/18675=2011,/cbb/players/halil-kanacevic-1.html,,0.30,5.00,5.30,
/player/Halil-Kanacevic/Summary/18675,International,2012,13,Saint Joseph's,/player/Halil-Kanacevic/Summary/18675=2012,/cbb/players/halil-kanacevic-1.html,,-0.20,5.10,4.90,
/player/Halil-Kanacevic/Summary/18675,International,2013,14,Saint Joseph's,/player/Halil-Kanacevic/Summary/18675=2013,/cbb/players/halil-kanacevic-1.html,,2.40,5.20,7.60,
/player/DeAndre-Kane/Summary/7818,International,2010,11,Marshall,/player/DeAndre-Kane/Summary/7818=2010,/cbb/players/deandre-kane-1.html,,2.30,0.90,3.30,
/player/DeAndre-Kane/Summary/7818,International,2011,12,Marshall,/player/DeAndre-Kane/Summary/7818=2011,/cbb/players/deandre-kane-1.html,,3.00,1.00,4.00,
/player/DeAndre-Kane/Summary/7818,International,2012,13,Marshall,/player/DeAndre-Kane/Summary/7818=2012,/cbb/players/deandre-kane-1.html,,1.80,-1.40,0.40,
/player/DeAndre-Kane/Summary/7818,International,2013,14,Iowa State,/player/DeAndre-Kane/Summary/7818=2013,/cbb/players/deandre-kane-1.html,,5.40,3.50,8.90,
/player/Matt-Kavanaugh/Summary/10345,International,2010,11,Dayton,/player/Matt-Kavanaugh/Summary/10345=2010,/cbb/players/matt-kavanaugh-1.html,,-3.10,1.40,-1.70,
/player/Matt-Kavanaugh/Summary/10345,International,2011,12,Dayton,/player/Matt-Kavanaugh/Summary/10345=2011,/cbb/players/matt-kavanaugh-1.html,,2.30,0.60,2.90,
/player/Matt-Kavanaugh/Summary/10345,International,2013,14,Dayton,/player/Matt-Kavanaugh/Summary/10345=2013,/cbb/players/matt-kavanaugh-1.html,,1.00,2.20,3.20,
/player/Arsalan-Kazemi/Summary/7903,International,2010,11,Rice,/player/Arsalan-Kazemi/Summary/7903=2010,/cbb/players/arsalan-kazemi-1.html,,5.20,2.90,8.10,
/player/Arsalan-Kazemi/Summary/7903,International,2011,12,Rice,/player/Arsalan-Kazemi/Summary/7903=2011,/cbb/players/arsalan-kazemi-1.html,,3.60,5.70,9.30,
/player/Arsalan-Kazemi/Summary/7903,International,2012,13,Oregon,/player/Arsalan-Kazemi/Summary/7903=2012,/cbb/players/arsalan-kazemi-1.html,,4.30,7.40,11.70,
/player/Reggie-Keely/Summary/11595,International,2010,11,Ohio,/player/Reggie-Keely/Summary/11595=2010,/cbb/players/reggie-keely-1.html,,-3.30,3.20,-0.10,
/player/Reggie-Keely/Summary/11595,International,2011,12,Ohio,/player/Reggie-Keely/Summary/11595=2011,/cbb/players/reggie-keely-1.html,,-1.90,0.40,-1.50,
/player/Reggie-Keely/Summary/11595,International,2012,13,Ohio,/player/Reggie-Keely/Summary/11595=2012,/cbb/players/reggie-keely-1.html,,1.70,1.30,2.90,
/player/Ryan-Kelly/Summary/2193,NBA,2010,11,Duke,/player/Ryan-Kelly/Summary/2193=2010,/cbb/players/ryan-kelly-3.html,,4.20,6.60,10.80,
/player/Ryan-Kelly/Summary/2193,NBA,2011,12,Duke,/player/Ryan-Kelly/Summary/2193=2011,/cbb/players/ryan-kelly-3.html,,6.20,2.50,8.70,
/player/Ryan-Kelly/Summary/2193,NBA,2012,13,Duke,/player/Ryan-Kelly/Summary/2193=2012,/cbb/players/ryan-kelly-3.html,,6.50,4.80,11.30,
/player/Maurice-Kemp/Summary/14660,International,2011,12,East Carolina,/player/Maurice-Kemp/Summary/14660=2011,/cbb/players/maurice-kemp-1.html,,0.60,2.20,2.80,
/player/Maurice-Kemp/Summary/14660,International,2012,13,East Carolina,/player/Maurice-Kemp/Summary/14660=2012,/cbb/players/maurice-kemp-1.html,,4.60,1.70,6.30,
/player/Tanner-Kerry/Summary/8432,International,2010,11,Pepperdine,/player/Tanner-Kerry/Summary/8432=2010,/cbb/players/tanner-kerry-1.html,,-2.90,-0.40,-3.30,
/player/Deniz-Kilicli/Summary/6596,International,2010,11,West Virginia,/player/Deniz-Kilicli/Summary/6596=2010,/cbb/players/deniz-kilicli-1.html,,-1.00,2.40,1.40,
/player/Deniz-Kilicli/Summary/6596,International,2011,12,West Virginia,/player/Deniz-Kilicli/Summary/6596=2011,/cbb/players/deniz-kilicli-1.html,,0.00,1.70,1.60,
/player/Deniz-Kilicli/Summary/6596,International,2012,13,West Virginia,/player/Deniz-Kilicli/Summary/6596=2012,/cbb/players/deniz-kilicli-1.html,,-1.20,0.30,-0.90,
/player/Sean-Kilpatrick/Summary/4347,NBA,2010,11,Cincinnati,/player/Sean-Kilpatrick/Summary/4347=2010,/cbb/players/sean-kilpatrick-1.html,,5.90,1.50,7.40,
/player/Sean-Kilpatrick/Summary/4347,NBA,2011,12,Cincinnati,/player/Sean-Kilpatrick/Summary/4347=2011,/cbb/players/sean-kilpatrick-1.html,,6.20,1.40,7.50,
/player/Sean-Kilpatrick/Summary/4347,NBA,2012,13,Cincinnati,/player/Sean-Kilpatrick/Summary/4347=2012,/cbb/players/sean-kilpatrick-1.html,,5.50,1.20,6.70,
/player/Sean-Kilpatrick/Summary/4347,NBA,2013,14,Cincinnati,/player/Sean-Kilpatrick/Summary/4347=2013,/cbb/players/sean-kilpatrick-1.html,,9.00,0.50,9.50,
/player/Jerramy-King/Summary/16620,International,2010,11,Long Beach State,/player/Jerramy-King/Summary/16620=2010,/cbb/players/jerramy-king-1.html,,-4.80,-1.50,-6.30,
/player/James-Kinney/Summary/11592,International,2011,12,San Jose State,/player/James-Kinney/Summary/11592=2011,/cbb/players/james-kinney-1.html,,2.70,-1.80,0.90,
/player/James-Kinney/Summary/11592,International,2012,13,San Jose State,/player/James-Kinney/Summary/11592=2012,/cbb/players/james-kinney-1.html,,4.90,0.50,5.40,
/player/Donnavan-Kirk/Summary/3804,International,2010,11,Miami (FL),/player/Donnavan-Kirk/Summary/3804=2010,/cbb/players/donnavan-kirk-1.html,,-7.00,-1.40,-8.40,
/player/Donnavan-Kirk/Summary/3804,International,2011,12,DePaul,/player/Donnavan-Kirk/Summary/3804=2011,/cbb/players/donnavan-kirk-1.html,,-1.50,2.80,1.30,
/player/Donnavan-Kirk/Summary/3804,International,2012,13,DePaul,/player/Donnavan-Kirk/Summary/3804=2012,/cbb/players/donnavan-kirk-1.html,,0.30,1.80,2.10,
/player/Donnavan-Kirk/Summary/3804,International,2013,14,Miami (FL),/player/Donnavan-Kirk/Summary/3804=2013,/cbb/players/donnavan-kirk-1.html,,-1.50,2.60,1.10,
/player/Tom-Knight/Summary/6200,International,2010,11,Notre Dame,/player/Tom-Knight/Summary/6200=2010,/cbb/players/tom-knight-1.html,,1.80,1.40,3.20,
/player/Tom-Knight/Summary/6200,International,2011,12,Notre Dame,/player/Tom-Knight/Summary/6200=2011,/cbb/players/tom-knight-1.html,,0.00,3.90,3.90,
/player/Tom-Knight/Summary/6200,International,2012,13,Notre Dame,/player/Tom-Knight/Summary/6200=2012,/cbb/players/tom-knight-1.html,,1.10,3.80,4.90,
/player/Tom-Knight/Summary/6200,International,2013,14,Notre Dame,/player/Tom-Knight/Summary/6200=2013,/cbb/players/tom-knight-1.html,,-0.30,2.30,2.00,
/player/Gabe-Knutson/Summary/17254,International,2010,11,Lehigh,/player/Gabe-Knutson/Summary/17254=2010,/cbb/players/gabe-knutson-1.html,,-0.40,-0.90,-1.30,
/player/Gabe-Knutson/Summary/17254,International,2011,12,Lehigh,/player/Gabe-Knutson/Summary/17254=2011,/cbb/players/gabe-knutson-1.html,,2.00,0.30,2.40,
/player/Gabe-Knutson/Summary/17254,International,2012,13,Lehigh,/player/Gabe-Knutson/Summary/17254=2012,/cbb/players/gabe-knutson-1.html,,1.10,-2.10,-0.90,
/player/Vladyslav-Kondratyev/Summary/20444,International,2010,11,Bryant,/player/Vladyslav-Kondratyev/Summary/20444=2010,/cbb/players/vlad-kondratyev-1.html,,-3.90,-3.00,-7.00,
/player/Vladyslav-Kondratyev/Summary/20444,International,2011,12,Bryant,/player/Vladyslav-Kondratyev/Summary/20444=2011,/cbb/players/vlad-kondratyev-1.html,,-7.00,-5.10,-12.10,
/player/Vladyslav-Kondratyev/Summary/20444,International,2012,13,Bryant,/player/Vladyslav-Kondratyev/Summary/20444=2012,/cbb/players/vlad-kondratyev-1.html,,-1.20,-1.50,-2.70,
/player/Kristijan-Krajina/Summary/20649,International,2011,12,Mount St. Mary's,/player/Kristijan-Krajina/Summary/20649=2011,/cbb/players/kristijan-krajina-1.html,,-4.90,-1.20,-6.10,
/player/Kristijan-Krajina/Summary/20649,International,2012,13,Mount St. Mary's,/player/Kristijan-Krajina/Summary/20649=2012,/cbb/players/kristijan-krajina-1.html,,-2.20,-1.10,-3.30,
/player/Kristijan-Krajina/Summary/20649,International,2013,14,Mount St. Mary's,/player/Kristijan-Krajina/Summary/20649=2013,/cbb/players/kristijan-krajina-1.html,,-1.80,-2.80,-4.60,
/player/Kristijan-Krajina/Summary/20649,International,2014,15,Mount St. Mary's,/player/Kristijan-Krajina/Summary/20649=2014,/cbb/players/kristijan-krajina-1.html,,-4.60,0.10,-4.50,
/player/Lasan-Kromah/Summary/10498,International,2011,12,George Washington,/player/Lasan-Kromah/Summary/10498=2011,/cbb/players/lasan-kromah-2.html,,1.00,1.90,3.00,
/player/Lasan-Kromah/Summary/10498,International,2012,13,George Washington,/player/Lasan-Kromah/Summary/10498=2012,/cbb/players/lasan-kromah-2.html,,2.00,1.60,3.60,
/player/Lasan-Kromah/Summary/10498,International,2013,14,Connecticut,/player/Lasan-Kromah/Summary/10498=2013,/cbb/players/lasan-kromah-2.html,,0.00,4.20,4.20,
/player/Douglas-Kurtz/Summary/8857,International,2010,11,Hawaii,/player/Douglas-Kurtz/Summary/8857=2010,/cbb/players/douglas-kurtz-1.html,,-5.60,-1.30,-6.90,
/player/Stephon-Lamar/Summary/16684,International,2010,11,Pacific,/player/Stephon-Lamar/Summary/16684=2010,/cbb/players/stephon-lamar-1.html,,-8.80,7.90,-0.90,
