Name,RealGM ID,Height (inches),Wingspan (inches),Standing Reach (inches),Weight (lbs)
Tyler Rawson ,80452,82,N/A,N/A,225
Phil Booth ,52543,75,N/A,N/A,190
Jordan Barnett ,53452,79,N/A,N/A,215
Chima Moneke ,97652,78,N/A,N/A,223
B.J. Johnson ,56795,79,81.5,104,184
Jon Elmore ,81641,75,N/A,N/A,189
Vic Law ,52054,79,N/A,N/A,205
Justin Gray ,41275,78,N/A,N/A,210
Nick Weiler-Babb ,81020,77,N/A,N/A,200
Jalen Adams ,73153,74,78.5,N/A,195
Tacko Fall ,83961,90,N/A,N/A,300
C.J. Burks ,80645,76,N/A,N/A,195
B.J. Stith ,28765,77,N/A,N/A,215
Dusan Ristic ,27315,84,86,110,249
Reid Travis ,52566,80,84,104.5,245
Tookie Brown ,83973,71,N/A,N/A,180
Chris Chiozza ,52547,71,73.5,92.5,169
Elijah Stewart ,80999,76,81,101.5,195
Ben Lammers ,80077,82,83,107.5,230
Peyton Aldridge ,80311,79.5,82,103,225
Gavin Schilling ,33431,81,N/A,N/A,245
Theo Pinson ,26755,78,83,103.5,188
Nick Masterson ,80330,78,N/A,N/A,214
Mike Daum ,81518,81,88,N/A,245
Milik Yarbrough ,42083,78,86,N/A,210
Jae'Sean Tate ,52353,76,80,N/A,230
Jock Landale ,81251,84,83.5,106,256
Nana Foulland ,81152,81,N/A,N/A,225
Issac Vann ,86978,78,N/A,N/A,190
Matt Klinewski ,81164,80,N/A,N/A,235
Danjel Purifoy ,73142,79,N/A,N/A,230
KeVaughn Allen ,73154,74.5,77,N/A,193
Daniel Fowler ,81268,76,N/A,N/A,195
Khadeen Carrington ,52343,74.5,78,98.5,185
Isaac Haas ,79907,86,88,111,292
Brandon Goodwin ,56935,72.75,78,95.5,179
Zach Brown ,74081,78,N/A,N/A,215
Eric Carter ,80586,81,N/A,N/A,235
Tra Holder ,80980,72.5,73,94,175
Isaiah Wilkins ,80116,78.5,86,103.5,232
T.J. Holyfield ,97827,80,N/A,N/A,220
Obi Enechionyia ,43397,81.5,82,104,217
Vasa Pusica ,81245,77,N/A,N/A,210
Trae Bell-Haynes ,79983,74,N/A,N/A,180
Tim Bond ,80739,79,N/A,N/A,160
Josh Perkins ,52563,75,N/A,N/A,190
Rashard Kelly ,80775,79,N/A,N/A,227
Xavier Cooks ,80513,80,N/A,N/A,185
Manu Lecomte ,32757,71,74,91,173
Terry Larrier ,52350,80,N/A,N/A,185
Mike Watkins ,83910,81,N/A,N/A,246
Tyler Nelson ,80899,75.5,76,95,169
Giddy Potts ,80643,74,N/A,N/A,220
Nick King ,24677,79,84,104.5,232
Kelan Martin ,80516,79,87,104.5,238
Nate Mason ,79873,74,75,96,196
Jahad Thomas ,57833,74,N/A,N/A,210
Roddy Peters ,42281,76,N/A,N/A,195
Jalen Canty ,106893,80,N/A,N/A,245
Stanford Robinson ,38331,76,N/A,N/A,200
Jairus Lyles ,57425,74,N/A,N/A,175
Tariq Owens ,52057,83,N/A,N/A,205
Clayton Custer ,80240,73,N/A,N/A,185
Tramaine Isabell ,81038,73,N/A,N/A,180
Isaac Copeland ,52346,81,81,N/A,221
J.P. Macura ,80304,77,N/A,N/A,203
Trayvon Reed ,71583,86,N/A,N/A,240
Marcus Foster ,59224,75,79,99.5,200.5
Jonathan Stark ,57077,71.5,77,94,175
Johnathan Williams ,26757,81,85.5,106,222
Kahlil Dukes ,56849,72,N/A,N/A,176
Thomas Wilder ,80722,75,80,95,180
Joel Hernandez ,58609,75,N/A,N/A,180
Aubrey Dawkins ,79866,78,N/A,N/A,205
Anas Mahmoud ,41392,84,86.5,110.5,202
Marcquise Reed ,81090,75,N/A,N/A,185
Kerem Kanter ,42177,82,N/A,N/A,240
Khadeem Lattin ,32644,81,N/A,N/A,220
