name,year,playerid,height_no_shoes,height_shoes,weight,wingspan,st_reach,body_fat,hand_len,hand_width,no_step_vert,no_step_vert_reach,max_vert,max_vert_reach,bench,agility,sprint
Alex Poythress,2011,/player/Alex-Poythress/Summary/24266,NA,80,213,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Poythress,2013,/player/Alex-Poythress/Summary/24266,NA,81,231,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Poythress,2014,/player/Alex-Poythress/Summary/24266,79.25,80.25,238,83.25,102,10.4,8.75,11.25,37.5,139.5,41.5,143.5,26,10.4,3.16
Alex Poythress,2015,/player/Alex-Poythress/Summary/24266,79.25,80.5,230,83.25,102,9.5,8.75,11.25,NA,NA,NA,NA,19,NA,NA
Alex Reese,2015,/player/Alex-Reese/Summary/97091,80.25,81,222,82.25,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Reese,2016,/player/Alex-Reese/Summary/97091,NA,80.5,221,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Robinson,2012,/player/Alex-Robinson/Summary/52051,71.25,NA,166,76.75,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Ruoff,2009,/player/Alex-Ruoff/Summary/1659,78.25,80,211,79.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Stepheson,2011,/player/Alex-Stepheson/Summary/2389,80.25,NA,246,84,104.25,NA,NA,NA,33.5,137.75,NA,NA,NA,12.86,3.48
Alex Suarez,2015,/player/Alex-Suarez/Summary/25831,80.25,81.5,214,85,107.5,NA,NA,NA,23,130.5,28.5,136,NA,NA,3.35
Alex Tyus,2011,/player/Alex-Tyus/Summary/5630,78.5,NA,207,83.5,103.75,NA,NA,NA,34,137.75,NA,NA,NA,12.26,3.3
Alex Young,2012,/player/Alex-Young/Summary/9442,77,NA,217,83,NA,NA,NA,NA,26.3,NA,NA,NA,NA,10.92,3.3
Alex Young,2012,/player/Alex-Young/Summary/9442,76.5,77.75,215,82.75,104.5,12.8,9.5,NA,30,134.5,34,138.5,10,11,3.28
Al-Farouq Aminu,2009,/player/Al-Farouq-Aminu/Summary/2180,NA,80,218,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Farouq Aminu,2009,/player/Al-Farouq-Aminu/Summary/2180,NA,80,218,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Farouq Aminu,2010,/player/Al-Farouq-Aminu/Summary/2180,79.25,80.5,216,87.25,108.5,8.2,9.5,9.5,27,135.5,33.5,142,13,11.29,3.3
Al Fisher,2009,/player/Al-Fisher/Summary/11500,72,73,193,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfred Aboya,2009,/player/Alfred-Aboya/Summary/1736,79,80,240,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfred Hollins,2015,/player/Alfred-Hollins/Summary/88123,77,NA,180,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algevon Eichelberger,2014,/player/Algevon-Eichelberger/Summary/85929,78,NA,229,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
